code,list,section,ordinal,supplementary,author,title,year,kind,stars,work_id,pdf,pdf_verdict,state,pages,sections,chunks,embedded,note
I.B.11,I. Theory,"Haunting, Archives, and Embodied Memory",11,,"Stoler, Ann Laura",Along the Archival Grain: Epistemic Anxieties and Colonial Common Sense,2009,monograph,,stoler-along-the-archival-grain-epistemic-2009,"Along the Archival Grain _ Epistemic Anxieties and Colonial -- Ann Laura Stoler -- 1, 2010-02-14 -- Princeton University Press -- isbn13 9780691015774 -- 7f28fb8fc712fd06b69f34b1c2012039 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
I.B.12,I. Theory,"Haunting, Archives, and Embodied Memory",12,,"Taylor, Diana",The Archive and the Repertoire: Performing Cultural Memory in the Americas,2003,monograph,,taylor-the-archive-and-the-repertoire-2003,"El archivo y el repertorio_ el cuerpo y la memoria cultural -- Diana Taylor; traducción de Anabelle Contreras Castro -- Colección Antropología, -- isbn13 9789569320828 -- 3dbfb007feaa40f271b6acf6ce63611d -- Anna’s Archive.pdf",check by hand,mapped,0,0,0,0,
I.C.13,I. Theory,"Coloniality, Possession, and Racial Geographies",13,,"Adorno, Rolena",The Polemics of Possession in Spanish American Narrative,2007,monograph,5,adorno-the-polemics-of-possession-in-2007,Rolena Adorno_Polemics of Possesion.pdf,citable,loaded,449,15,417,417,
I.C.14,I. Theory,"Coloniality, Possession, and Racial Geographies",14,,"Gerhard, Peter",La frontera norte de la Nueva España,1996,monograph,,gerhard-la-frontera-norte-de-la-1996,"Gerhard, La Frontera Norte de la Nueva España_compressed_compressed.pdf | La frontera norte de la nueva españa.pdf",citable,loaded,28,0,21,21,
I.C.15,I. Theory,"Coloniality, Possession, and Racial Geographies",15,,"Gómez-Barris, Macarena",The Extractive Zone: Social Ecologies and Decolonial Perspectives,2017,monograph,,gomez-barris-the-extractive-zone-social-ecologies-2017,"The Extractive Zone_ Social Ecologies and Decolonial -- Macarena Gómez-Barris -- Dissident acts, Durham, 2017 -- Duke University Press Books -- isbn13 9780822368755 -- c3da1f8ff022650051242aae75f1bffa -- Anna’s Archive.pdf | The extractive zone_Macarena.pdf",citable | citable,mapped,0,0,0,0,
I.C.16,I. Theory,"Coloniality, Possession, and Racial Geographies",16,,"Jáuregui, Carlos A",Espectros y conjuras: asedios a la cuestión colonial,2020,monograph,,jauregui-espectros-y-conjuras-asedios-a-2020,"Espectros y conjuras- Asedios a la cuestión colonial -- Carlos A_ Jáuregui -- Parecos y australes_ Ensayos de Cultura de la Colonia; 25, -- Vervuert -- 9783964568182 -- a8875767c5758e8601e5925013373a26 -- Anna’s Archive.pdf",probably citable,loaded,381,9,318,318,
I.C.17,I. Theory,"Coloniality, Possession, and Racial Geographies",17,,"Saldaña-Portillo, María Josefina",Indian Given: Racial Geographies across Mexico and the United States,2016,monograph,,saldana-portillo-indian-given-racial-geographies-across-2016,"Indian Given_ Racial Geographies across Mexico and the -- Mari_a Josefina Salda�a-Portillo -- Latin America otherwise _ languages, empires, nations, -- isbn13 9780822359883 -- e9c35a63deb7d6c6e530e58b192fdb18 -- Anna�s Archive.pdfh",citable | citable | citable,loaded,126,0,126,126,
I.C.18,I. Theory,"Coloniality, Possession, and Racial Geographies",18,,"Taussig, Michael","Shamanism, Colonialism, and the Wild Man: A Study in Terror and Healing",1987,monograph,,taussig-shamanism-colonialism-and-the-wild-1987,"Shamanism, colonialism, and the wild man _ a study in terror -- Michael Taussig, Michael T_ Taussig -- ACLS Humanities E-Book, Chicago, 1986, ©1987 -- isbn13 9780226790114 -- b07beae998f5890dcb339da8906deff3 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
I.D.19,I. Theory,"Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",19,,"Anzaldúa, Gloria",Borderlands / La Frontera: The New Mestiza,1987,monograph,,anzaldua-borderlands-la-frontera-the-new-1987,"Borderlands _ the new Mestiza = La Frontera -- Anzaldúa, Gloria -- 1st ed_, San Francisco, 1991 -- San Francisco _ Aunt Lute Books -- isbn13 9781879960121 -- 05c1474bd01ce6aacd9ccedf8bc96ef5 -- Anna’s Archive.pdf",citable,loaded,228,6,129,129,
I.D.20,I. Theory,"Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",20,,"Castillo, Ana",Massacre of the Dreamers: Essays on Xicanisma,1994,monograph,,castillo-massacre-of-the-dreamers-essays-1994,"Massacre of the Dreamers _ Essays on Xicanisma_ 20th -- Castillo, Ana; Estés, Clarissa Pinkola -- 20th Anniversary updated edition, Albuquerque, 2014 -- isbn13 9780826353580 -- 467d293626403870bd98ab4a77f433e5 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
I.D.21,I. Theory,"Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",21,,"Delgado, Vivian","You're Not Indian, You're Mexican",2007,monograph,,delgado-you-re-not-indian-you-2007,,,missing,0,0,0,0,
I.D.22,I. Theory,"Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",22,,"Gonzales, Patrisia",Red Medicine: Traditional Indigenous Rites of Birthing and Healing,2012,monograph,,gonzales-red-medicine-traditional-indigenous-rite-2012,Red_Medicine_Traditional_Indigenous_Rites_of_Birth....pdf,probably citable,loaded,314,9,255,255,
I.D.23,I. Theory,"Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",23,,"León, Luis D","La Llorona's Children: Religion, Life, and Death in the U.S.–Mexican Borderlands",2004,monograph,,leon-la-llorona-s-children-religion-2004,"La Llorona's Children _ Religion, Life, and Death in the -- León, Luis D_ -- Reprint 2019, 2004 dec 31 -- University of California Press -- isbn13 9780520223509 -- 906539c58ccfcc90601d9b98d53c29b3 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
I.D.24,I. Theory,"Chicana Feminisms, Indigenous Knowledge, and Borderlands Religion",24,,"Koshatka Seman, Jennifer",Border Curanderos,2021,monograph,,seman-border-curanderos-2021,"Borderlands curanderos _ the worlds of Santa Teresa Urrea -- Jennifer Koshatka Seman -- First edition, Austin, 2021 -- University of Texas Press -- isbn13 9781477321911 -- 4cc556b019e5c5cbf403ce91772daf6d -- Anna’s Archive.pdf",,mapped,0,0,0,0,
I.E.25,I. Theory,"Indigenous Studies: Sovereignty, Refusal, and Temporality",25,,"Simpson, Audra",Mohawk Interruptus: Political Life across the Borders of Settler States,2014,monograph,,simpson-mohawk-interruptus-political-life-across-2014,"Mohawk interruptus _ {political life across the borders of -- Simpson, Audra -- 2014 may 27 -- Duke University Press_ London -- isbn13 9780822356431 -- 969d649e33a5dbc4008df5128a3ecbd1 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
