filename,verdict,pages,offset,agreement,folios,producer,against,for
"Lo sagrado y lo profano -- Mircea Eliade [Eliade, Mircea] -- 1956 -- bbcdde4244b1efc7deb61418fb6d11a9 -- Anna’s Archive.pdf",check by hand,307,,,43,calibre (5.22.0) [https://calibre-ebook.com] calibre (5.22.0,produced by a converter: calibre (5.22.0) [https://calibre-ebook. | page numbers found but inconsistent: 1 of 43 agree on -22 | no copyright page | no running heads,
"Los bandidos de Río Frío (adaptación ilustrada) -- Haghenbeck, F_ G_ (Francisco Gerardo), Payno, Manuel, -- 1_ ed_ adaptada al lenguaje de la -- isbn13 9786075161143 -- b802823fa2623c9eaa16458690fc0b66 -- Anna’s Archive.pdf",citable,100,-2,0.83,41,Internet Archive PDF 1.4.13; including mupdf and pymupdf/ski,,"consistent print pagination, offset -2 (34 of 41 bare folios) | copyright page present | running heads"
"Los bandidos de Río frío -- Manuel Payno, Reyes Maldonado & Victor Hugo, Camacho, -- Colección Clásicos juveniles, Colección Clásicos juveniles, -- isbn13 9786074533927 -- fa7b7f3f7bbfe4b3da53cde4f9db10db -- Anna’s Archive.pdf",citable,100,-2,0.95,57,Internet Archive PDF 1.4.13; including mupdf and pymupdf/ski,,"consistent print pagination, offset -2 (54 of 57 bare folios) | copyright page present | running heads"
"Los de abajo; novela de la Revolución Mexicana -- Azuela, Mariano, 1873-1952, Englekirk, John Eugene, 1905- -- Complete ed_, New York, New York State, -- isbn13 9780135406908 -- f148d1f68fe69e31b6e2bbaa5ae3f087 -- Anna’s Archive.pdf",check by hand,260,,,9,Internet Archive PDF 1.4.16; including mupdf and pymupdf/ski,only 9 printed page numbers in 260 pages | no running heads,copyright page present
"Los mexicanos de aquí y de allá _ perspectivas comunes_ _ -- Foro de Reflexión Binacional (1st _ 2004 _ Mexico City, -- 1a ed_, México, D_F, Mexico, -- isbn13 9789681866747 -- 631e4a7691b1cb59b044387bdbbe8596 -- Anna’s Archive.pdf",citable,478,-4,0.93,377,Internet Archive PDF 1.4.24; including mupdf and pymupdf/ski,,"consistent print pagination, offset -4 (349 of 377 bare folios) | copyright page present | running heads"
"Los muertos indóciles _ Necroescrituras y desapropiación -- Cristina Rivera Garza -- Penguin Random House Grupo Editorial, S_A_U_, [Barcelona], -- isbn13 9786073180993 -- 4c488cb84fa9a3f3b5aed4c436be4767 -- Anna’s Archive.pdf",check by hand,173,,,22,calibre 2.83.0 [https://calibre-ebook.com] calibre 2.83.0 [h,produced by a converter: calibre 2.83.0 [https://calibre-ebook.co | page numbers found but inconsistent: 2 of 22 agree on -60 | no copyright page | no running heads,
Los niños perdidos_ un ensayo en cuarenta preguntas -- Valeria Luiselli -- 2015 -- ePubLibre -- 7d2b7f43a63a8be58f23aa7be450beba -- Anna’s Archive.pdf,NOT citable,95,0,0.96,94,calibre 3.21.0 [https://calibre-ebook.com] calibre 3.21.0 [h,produced by a converter: calibre 3.21.0 [https://calibre-ebook.co | printed page numbers equal the file pages — no front matter | no copyright page,running heads
"Los trabajos de la memoria -- Jelin, Elizabeth -- Bookwire GmbH, Buenos Aires, Argentina, 2021 -- Fondo de Cultura Económica Argentina -- isbn13 9789877192537 -- 70a3e9a075182ac0830b2ecac53031dd -- Anna’s Archive.pdf",check by hand,222,,,19,calibre,produced by a converter: calibre | page numbers found but inconsistent: 2 of 19 agree on -99 | no copyright page | no running heads,
"Magical Realism in Contemporary Chicano Fiction _$bRon -- Walter, Roland (Roland Gerhard Mike) -- Editionen der Iberoamericana_ Reihe III, -- isbn13 9783893548484 -- 1edc99f54d4966445364b56035a3b2d2 -- Anna’s Archive.pdf",citable,156,-2,0.9,114,Internet Archive PDF 1.4.16; including mupdf and pymupdf/ski,,"consistent print pagination, offset -2 (103 of 114 bare folios) | copyright page present | running heads"
"Mal de archivo_ una impresión freudiana -- Jacques Derrida; Paco Vidarte -- Estructuras y Procesos_ Filosofía, 1a, 1997 -- Trotta Trotta -- isbn13 9788481641332 -- 1991aab86a9a6c8f86857e8e412f18a1 -- Anna’s Archi.pdf",citable,101,7,0.47,97,Adobe Acrobat 9.4.1 Image Conversion Plug-in Adobe Acrobat 9,,"typeset: Adobe Acrobat 9.4.1 Image Conversion Plu | consistent print pagination, offset +7 (46 of 97 bare folios) | copyright page present | running heads"
"Massacre of the Dreamers _ Essays on Xicanisma_ 20th -- Castillo, Ana; Estés, Clarissa Pinkola -- 20th Anniversary updated edition, Albuquerque, 2014 -- isbn13 9780826353580 -- 467d293626403870bd98ab4a77f433e5 -- Anna’s Archive.pdf",citable,287,-21,1.0,259,3-Heights(TM) PDF Producer 4.2.26.0 (http://www.pdf-tools.co,,"typeset: 3-Heights(TM) PDF Producer 4.2.26.0 (htt | consistent print pagination, offset -21 (259 of 259 bare folios) | copyright page present | running heads"
"Mcdougal Littell Literature Connections_ ___y No Se Lo Trago -- McDougal Littel, Tomás Rivera -- Literature connections, Evanston, Ill, ©1997- -- isbn13 9780395800461 -- 2a1a1aab8e1055fa1b7609a343cb6d76 -- Anna’s Archive.pdf",citable,184,-8,0.92,145,Internet Archive PDF 1.4.16; including mupdf and pymupdf/ski,,"consistent print pagination, offset -8 (134 of 145 bare folios) | copyright page present | running heads"
Mexico profundo_Miguel Gandert_Lamadrid_2026-06-16 13-46.pdf,needs OCR,71,,,,Haru Free PDF Library 2.4.5 Genius Scan,no text layer; OCR before judging citability,
"Mircea Eliade - Ocultismo, brujería y modas culturales-Paidós (1997).pdf",citable,166,3,0.99,101,iLovePDF Adobe Acrobat 20.9,,"typeset: iLovePDF Adobe Acrobat 20.9 | consistent print pagination, offset +3 (100 of 101 bare folios) | copyright page present | running heads"
"Mohawk interruptus _ {political life across the borders of -- Simpson, Audra -- 2014 may 27 -- Duke University Press_ London -- isbn13 9780822356431 -- 969d649e33a5dbc4008df5128a3ecbd1 -- Anna’s Archive.pdf",citable,274,-14,0.99,126,PDFium,,"consistent print pagination, offset -14 (125 of 126 bare folios) | copyright page present | running heads"
Moths-The_Las-palomillas-2.pdf,check by hand,13,,,2,QuarkXPress(R) 15.12 QuarkXPress(R) 15.12,"only 2 printed page numbers in 13 pages | no running heads | typeset and paginated, but no folios could be read",typeset: QuarkXPress(R) 15.12 QuarkXPress(R) 15.1 | copyright page present
Music in the Ruben Cobos Collection.pdf,needs OCR,222,,,,Pdftools SDK,no text layer; OCR before judging citability,
"Nación Ǵenízara _ ethnogenesis, place, and identity in -- Moises Gonzales; Enrique R_ Lamadrid -- University of New Mexico Press, Albuquerque, 2019 -- isbn13 9780826361073 -- b403bbddc7e7aa8eaa28543b752ec1d5 -- Anna’s Archive.pdf",check by hand,391,,,10,Acrobat Distiller 19.0 (Macintosh) Adobe InDesign 14.0 (Maci,"only 10 printed page numbers in 391 pages | no running heads | typeset and paginated, but no folios could be read",typeset: Acrobat Distiller 19.0 (Macintosh) Adobe | copyright page present
Nasario García_Old Las Vegas.pdf,citable,319,-17,0.97,285,iText 2.1.7 by 1T3XT pdfsam-console (Ver. 2.3.0e),,"consistent print pagination, offset -17 (277 of 285 bare folios) | copyright page present | running heads"
"Naufragios de Alvar Núñez Cabeza de Vaca -- Álvar Núñez Cabeza de Vaca -- Middlesex, 2007 -- The Echo Library -- isbn13 9781406847048 -- c983bc018ab3208d7f3544ead4427f16 -- Anna’s Archive.pdf",citable,148,-4,0.97,116,Internet Archive PDF 1.4.25; including mupdf and pymupdf/ski,,"consistent print pagination, offset -4 (112 of 116 bare folios) | copyright page present | running heads"
"Oraciones, conjuros, ensalmos_Araceli Campos.pdf",needs OCR,237,,,,Skia/PDF m96 Mozilla/5.0 (Windows NT 10.0; Win64; x64) Apple,no text layer; OCR before judging citability,
"Palabras de mediodía = Noon words -- Corpi, Lucha, 1945-, Rodríguez-Nieto, Catherine, 1937- -- Pioneers of modern U_S_ Hispanic literature, Houston, -- isbn13 9781558853225 -- 41061352e3548f6df070d2ab8acb0c83 -- Anna’s Archive.pdf",citable,212,-42,0.98,138,Recoded by LuraDocument PDF v2.53 Digitized by the Internet ,,"consistent print pagination, offset -42 (135 of 138 bare folios) | copyright page present | running heads"
"Paper Knowledge_ Toward a Media History of Documents (Sign, -- Gitelman, Lisa -- Sign, storage, transmission, 1, 2014 -- Duke University Press Books -- isbn13 9780822356455 -- d3b83ae34ef733db0f9018a30da3a5b7 -- Anna’s Archive.pdf",citable,224,-14,1.0,196,PDFium,,"consistent print pagination, offset -14 (196 of 196 bare folios) | copyright page present | running heads"
"Pedro Páramo ; y El llano en llamas -- Juan Rulfo; Fundacion Juan Rulfo (Mexico, D_F_) -- Booket, 1a_ ed_ en esta presentación en Colección booket, -- isbn13 9788408041795 -- efa1ce16c29ea4009df1fab95030aab3 -- Anna’s Archive.pdf",citable,244,-2,0.99,215,Internet Archive PDF 1.4.24; including mupdf and pymupdf/ski,,"consistent print pagination, offset -2 (213 of 215 bare folios) | copyright page present | running heads"
Peregrinos de Aztlán_Miguel Méndez.pdf,citable,196,-2,0.99,163,Internet Archive PDF 1.4.24; including mupdf and pymupdf/ski,,"consistent print pagination, offset -2 (161 of 163 bare folios) | copyright page present | running heads"
"Poética_ Magna Moralia_ (Biblioteca Clásica Gredos) -- Aristóteles [Aristóteles] -- Biblioteca clásica Gredos -- 390_, 1_ ed_, Madrid, Spain, -- isbn13 9788424917647 -- b7c337402ed89f34546ff52f1c4bf7a0 -- Anna’s Archive.pdf",NOT citable,154,0,0.99,153,calibre 2.52.0 [http://calibre-ebook.com] calibre (2.52.0) [,produced by a converter: calibre 2.52.0 [http://calibre-ebook.com | printed page numbers equal the file pages — no front matter,copyright page present | running heads
Polémicas de la poesión puntos clave.pdf,NOT citable,4,,,0,"macOS Version 12.7.6 (Build 21H1320) Quartz PDFContext, Appe",only 0 printed page numbers in 4 pages | no copyright page | no printed pagination of any kind,running heads
"Por el amor de Pedro Infante _ Loving Pedro Infante -- Chávez, Denise, Aguilar Melantzón, Ricardo; Pollack, Beth, -- 1a ed_ en Español de Vintage, -- isbn13 9780307774026 -- 9b3dc691194256c654174ed9f3458537 -- Anna’s Archive.pdf",citable,356,-14,0.86,235,Internet Archive PDF creator and recoder 0.0.1; https://git.,,"consistent print pagination, offset -14 (201 of 235 bare folios) | copyright page present | running heads"
"Postcolonial Love Poem -- Natalie Diaz & Natalie Diaz -- Main, London, 2020 -- Faber & Faber, Limited -- isbn13 9780571359875 -- f5c4a61f382581e934a55f73686bba4c -- Anna’s Archive.pdf",check by hand,119,,,11,calibre 3.48.0 [https://calibre-ebook.com] calibre 3.48.0 [h,produced by a converter: calibre 3.48.0 [https://calibre-ebook.co | page numbers found but inconsistent: 1 of 11 agree on +44 | no copyright page | no running heads,
"Prie tita and the ghost woman =_ Prietita y la llorona -- Anzaldúa, Gloria, Gonzalez, Maya Christina, ill -- San Francisco, Calif, United States, 1995 -- isbn13 9780329241834 -- e9a19406810dbd3395e55c660f22d922 -- Anna’s Archive.pdf",check by hand,40,,,1,Internet Archive PDF 1.2.1; including mupdf and pymupdf/skim,only 1 printed page numbers in 40 pages | no running heads,copyright page present
"RAMA, ÁNGEL - Transculturación Narrativa en América Latina -- ganz1912 -- 2019 -- cb1ec5f4ae0863755d57fac8b9182db4 -- Anna’s Archive.pdf",citable,303,2,0.99,243,3-Heights(TM) PDF Optimization Shell 5.9.1.5 (http://www.pdf,,"consistent print pagination, offset +2 (240 of 243 bare folios) | copyright page present | running heads"
RIVERA GARZA CRISTINA. Los muertos indociles.pdf,citable,294,6,0.59,283,ABBYY FineReader 11,,"consistent print pagination, offset +6 (167 of 283 bare folios) | copyright page present | running heads"
Red_Medicine_Traditional_Indigenous_Rites_of_Birth....pdf,probably citable,314,,,15,ProQuest Ebook Central™ (ChapterMaker),only 15 printed page numbers in 314 pages,copyright page present | running heads
"Relatos populares de la Inquisición novohispana _ rito, -- Claudia Carranza; Enrique Flores; Mariana Masera; Consejo -- first, 2010 -- Editorial CSIC -- isbn13 9786070218620 -- 2c5af51dada4a952a967cc57a059cb1a -- Anna’s Archive.pdf",check by hand,297,,,34,Adobe PDF Library 8.0 Adobe InDesign CS3 (5.0.4),"page numbers found but inconsistent: 2 of 34 agree on -121 | typeset and paginated, but no folios could be read",typeset: Adobe PDF Library 8.0 Adobe InDesign CS3 | copyright page present | running heads
Rolena Adorno_Polemics of Possesion.pdf,citable,449,-21,0.99,397,PDF Page Organizer 2.93 - Foxit Software,,"consistent print pagination, offset -21 (395 of 397 bare folios) | copyright page present | running heads"
Rulfo y Méndez.pdf,citable,20,300,1.0,20,Adobe PDF Library 9.9 Adobe InDesign CS5.5 (7.5),no copyright page,"typeset: Adobe PDF Library 9.9 Adobe InDesign CS5 | consistent print pagination, offset +300 (20 of 20 bare folios) | running heads"
Sabrina & Corina -- Kali Fajardo-Anstine -- a6d4ba194b36050f7f61490d235a0aa4 -- Anna’s Archive.pdf,check by hand,193,,,3,calibre 3.47.0 [https://calibre-ebook.com] calibre 3.47.0 [h,produced by a converter: calibre 3.47.0 [https://calibre-ebook.co | only 3 printed page numbers in 193 pages | no running heads,copyright page present
"Scales of Captivity _ Racial Capitalism and the Latinx Child -- Mary Pat Brady, 1961- -- 1, 2022 -- Duke University Press Books -- isbn13 9781478015314 -- a07d9317681902713d385d9ab90ee641 -- Anna’s Archive.pdf",probably citable,313,,,20,ProQuest Ebook Central™ (ChapterMaker),page numbers found but inconsistent: 2 of 20 agree on -234,copyright page present | running heads
"Shamanism, colonialism, and the wild man _ a study in terror -- Michael Taussig, Michael T_ Taussig -- ACLS Humanities E-Book, Chicago, 1986, ©1987 -- isbn13 9780226790114 -- b07beae998f5890dcb339da8906deff3 -- Anna’s Archive.pdf",citable,536,-19,0.99,372,Adobe Acrobat 9.2 Paper Capture Plug-in with ClearScan,,"typeset: Adobe Acrobat 9.2 Paper Capture Plug-in  | consistent print pagination, offset -19 (368 of 372 bare folios) | copyright page present | running heads"
"Singing for my echo _ memories of Gregorita Rodriguez, a -- Rodriguez, Gregorita, 1901-, Powers, Edith -- 1st ed_, Santa Fe, N_M, New Mexico, 1987 -- isbn13 9780943734224 -- 1e62aa95e95632587f369d9db2a1e1b3 -- Anna’s Archive.pdf",citable,100,-2,1.0,86,Internet Archive PDF 1.4.16; including mupdf and pymupdf/ski,,"consistent print pagination, offset -2 (86 of 86 bare folios) | copyright page present | running heads"
"So All Is Not Lost_ The Poetics of Print in Nuevomexicano -- Meléndez, A_ Gabriel (Anthony Gabriel) -- University of New Mexico Press, Albuquerque, -- isbn13 9780585245560 -- ff6ad4b02d4ce02a5ebc833cf8a8dc27 -- Anna’s Archive.pdf",citable,298,-20,0.98,247,Internet Archive PDF 1.4.24; including mupdf and pymupdf/ski,,"consistent print pagination, offset -20 (242 of 247 bare folios) | copyright page present | running heads"
"Spanish-American folktales _  the  practical wisdom of -- Pijoan, Teresa, 1951- -- 1st ed_, Little Rock, Arkansas, 1990 -- Little Rock _ August House -- isbn13 9780874831559 -- 84404b6bd31153658315495f67a0d170 -- Anna’s Archive.pdf",citable,132,-2,0.98,118,Recoded by LuraDocument PDF v2.28 Digitized by the Internet ,,"consistent print pagination, offset -2 (116 of 118 bare folios) | copyright page present | running heads"
"Teoría del texto e interpretación de textos -- Mignolo, Walter -- Cuadernos del Seminario de Poética ;, 8, 1a ed_, México, -- México _ Instituto de -- isbn13 9789688374580 -- d2a6a53168d22d911e182f10c19a13c2 -- Anna’s Archive.pdf",citable,316,-8,0.91,269,Internet Archive PDF 1.4.18; including mupdf and pymupdf/ski,no copyright page,"consistent print pagination, offset -8 (246 of 269 bare folios) | running heads"
"Teorías de lo fantástico (Lecturas) (Spanish Edition) -- Jaime Alazraki, Jean Bellemin-Noël, Irène Bessière, Roger -- Bibliotheca Philologica_ Serie -- isbn13 9788476354537 -- 2cfd627e742bd7592753cc4cb63d5f3f -- Anna’s Archive.pdf",citable,306,1,0.98,242,ABBYY FineReader 12 LANIER MP 4002,,"consistent print pagination, offset +1 (238 of 242 bare folios) | copyright page present | running heads"
"Territorios de la ficción_ Lo fantástico (Iluminaciones) -- Rosalba Campra -- 1, 2008 -- Editorial Renacimiento -- isbn13 9788484723875 -- db0db48a9b1ee3cce67aa4bfeac1e7f0 -- Anna’s Archive.pdf",needs OCR,217,,,,calibre 3.32.0 [https://calibre-ebook.com] calibre 3.32.0 [h,no text layer; OCR before judging citability,
"The  moths and other stories -- Viramontes, Helena María, 1954- -- 2nd ed_, Houston, Tex, Texas, 1995 -- Houston, Tex_ _ Arte Público Press -- isbn13 9781558851382 -- 5ac4743ab2b1302809519572ec75b067 -- Anna’s Archive.pdf",citable,132,-4,0.91,77,Recoded by LuraDocument PDF v2.28 Digitized by the Internet ,,"consistent print pagination, offset -4 (70 of 77 bare folios) | copyright page present | running heads"
"The Belief of the Indian in a Connection Between Song and -- Frances Densmore -- 2013-07-27 -- Literary Licensing, LLC -- 9781258773229 -- 1f4b16065f399e88a29f7de250d274a5 -- Anna’s Archive.pdf",check by hand,20,,,3,Internet Archive PDF 1.4.24; including mupdf and pymupdf/ski,only 3 printed page numbers in 20 pages | no copyright page | no running heads,
"The Extractive Zone_ Social Ecologies and Decolonial -- Macarena Gómez-Barris -- Dissident acts, Durham, 2017 -- Duke University Press Books -- isbn13 9780822368755 -- c3da1f8ff022650051242aae75f1bffa -- Anna’s Archive.pdf",citable,208,-20,0.96,184,PDFium,no running heads,"consistent print pagination, offset -20 (177 of 184 edge folios) | copyright page present"
"The Folklore of Spain in the American Southwest _ -- Espinosa, Aurelio Macedonio; Espinosa, J_ Manuel -- University of Oklahoma Press, Norman, Okla, -- 9780585145983 -- 78eadff7a5189a6490924bba3fea9dd8 -- Anna’s Archive.pdf",citable,332,-16,0.91,248,Internet Archive PDF 1.4.24; including mupdf and pymupdf/ski,,"consistent print pagination, offset -16 (226 of 248 bare folios) | copyright page present | running heads"
"The Guardians _ a novel -- Ana Castillo -- Random House Trade Paperback ed_, New York, 2008 -- Random House Trade Paperbacks -- isbn13 9780812975710 -- bac9726cc671a60361b2d3e025ee64c1 -- Anna’s Archive.pdf",citable,244,-14,0.99,152,Recoded by LuraDocument PDF v2.53 Digitized by the Internet ,,"consistent print pagination, offset -14 (151 of 152 bare folios) | copyright page present | running heads"
"The Other Side of the Popular _ Neoliberalism and -- Gareth Williams -- Duke University Press, Durham [N_C_], 2002 -- Duke University Press Books -- isbn13 9780822329251 -- 42c3ae18f859aeb3e5dd30132b22b42d -- Anna’s Archive.pdf",citable,391,-15,0.97,363,iText 2.1.7 by 1T3XT Adobe Acrobat Pro 10.0.0,,"typeset: iText 2.1.7 by 1T3XT Adobe Acrobat Pro 1 | consistent print pagination, offset -15 (351 of 363 bare folios) | copyright page present | running heads"
"The Weeping woman _ encounters with La Llorona -- Kraul, Edward Garcia; Beatty, Judith -- 1st ed_, Santa Fe, N_M, New Mexico, 1988 -- Santa Fe, N_M_ _ -- isbn13 9780945937067 -- 3a0fc7f030b1bdd249e36e8817fdfeea -- Anna’s Archive.pdf",citable,132,-14,0.9,71,Internet Archive PDF 1.4.12; including mupdf and pymupdf/ski,,"consistent print pagination, offset -14 (64 of 71 bare folios) | copyright page present | running heads"
"The Weird and the Eerie -- Mark Fisher -- Paperback, 2017 -- Repeater Books Distributed in the United States by Random -- isbn13 9781910924389 -- 7e7b6699f2c1463523b456373cea8d19 -- Anna’s Archive.pdf",citable,131,3,0.91,85,FineReader,,"consistent print pagination, offset +3 (77 of 85 bare folios) | copyright page present | running heads"
"The corn woman _ stories and legends of the Hispanic -- retold by Angel Vigil; translated by Jennifer Audrey Lowell -- Bloomsbury USA, Englewood, -- 9780313069895 -- c92fca77f069c30392a6383e68e1bf56 -- Anna’s Archi.pdf",citable,298,-52,0.58,223,Recoded by LuraDocument PDF v2.53 Digitized by the Internet ,no running heads,"consistent print pagination, offset -52 (129 of 223 bare folios) | copyright page present"
The extractive zone_Macarena.pdf,citable,23,109,0.96,23,itext-paulo-155 (itextpdf.sf.net-lowagie.com); modified usin,no copyright page,"consistent print pagination, offset +109 (22 of 23 edge folios) | running heads"
"There Was a Woman _ La Llorona From Folklore to Popular -- by Domino Renee Perez -- University of Texas Press, Austin, 2008 -- University of Texas -- isbn13 9780292718111 -- d6c4bfe86395bc3c28b9b52ce5c9c93b -- Anna’s Archive.pdf",citable,303,-31,0.63,129,Adobe PDF Library 7.0 Adobe InDesign CS2 (4.0.5),,"typeset: Adobe PDF Library 7.0 Adobe InDesign CS2 | consistent print pagination, offset -31 (81 of 129 bare folios) | copyright page present | running heads"
"Tomochic _ episodios de la campaña de Chihuahua, 1892 _ -- Frías, Heriberto, 1870-1925, Cuesy, Silvia L -- Intemporales, 1st ed, Mexico, D_F, ©2002 -- isbn13 9789706516329 -- 08c5c83a3be926ca0119a1505a0d81fb -- Anna’s Archive.pdf",citable,300,-2,0.97,226,Internet Archive PDF 1.2.0; including mupdf and pymupdf/skim,,"consistent print pagination, offset -2 (219 of 226 bare folios) | copyright page present | running heads"
"Unsettled Borders_ The Militarized Science of Surveillance -- Felicity Amaya Schaeffer -- Dissident acts, Durham _, 2022 -- Duke University Press -- isbn13 9781478015321 -- 0dacdde193a7503eef1681394c3b4387 -- Anna’s Archive.pdf",citable,225,-17,0.98,197,Adobe PDF Library 15.0 Adobe InDesign 15.0 (Macintosh),no running heads,"typeset: Adobe PDF Library 15.0 Adobe InDesign 15 | consistent print pagination, offset -17 (194 of 197 edge folios) | copyright page present"
"Woman Hollering Creek _ And Other Stories -- Sandra Cisneros -- Penguin Random House LLC, New York, 1992 -- New York_ Vintage Books -- isbn13 9780394576541 -- f4d90b3a619bdedc3b9f19e60013b26f -- Anna’s Archive.pdf",citable,196,-16,0.82,11,Internet Archive PDF 1.4.25; including mupdf and pymupdf/ski,no running heads,"consistent print pagination, offset -16 (9 of 11 bare folios) | copyright page present"
Women%27s_Tales_from_the_New_Mexico_WPA_La_Diabla_a_..._----_(PART_I).pdf,probably citable,104,,,43,ProQuest Ebook Central™ (ChapterMaker),page numbers found but inconsistent: 2 of 43 agree on +33,copyright page present | running heads
Women's Tales from the New Mexico WPA_ La Diabla a Pie -- Tey Diana Rebolledo; María Teresa Márquez -- Recovering the U_S Hispanic Literary Heritage -- isbn13 9781558853126 -- c2ac911d43f7090048c2f275f895f009 -- Anna’s Archive.pdf,citable,510,-56,1.0,284,Mac OS X 10.4.10 Quartz PDFContext QuarkXPress,,"typeset: Mac OS X 10.4.10 Quartz PDFContext Quark | consistent print pagination, offset -56 (284 of 284 bare folios) | copyright page present | running heads"
"_With His Pistol in His Hand__ A Border Ballad and Its Hero -- Paredes, Américo, 1915-1999, author, James H_ Sutton Jr_ and -- Texas classics, Austin -- isbn13 9780292701281 -- 5f48891bbd05ccc100bd3c7911724f96 -- Anna’s Archive.pdf",citable,280,-16,0.91,215,Internet Archive PDF 1.4.13; including mupdf and pymupdf/ski,,"consistent print pagination, offset -16 (196 of 215 bare folios) | copyright page present | running heads"
la muerte de artemio cruz -- Unknown -- 1800 -- ba405fcdb6baf27ec07a7ca594284bc6 -- Anna’s Archive.pdf,citable,330,-4,0.96,283,Internet Archive PDF 1.4.16; including mupdf and pymupdf/ski,,"consistent print pagination, offset -4 (271 of 283 bare folios) | copyright page present | running heads"
"leibowitz, novella.pdf",needs OCR,25,,,,KONICA MINOLTA bizhub C650i KM_C650i,no text layer; OCR before judging citability,
un-esfuerzo-de-poesia-ja-miller-pdf-free.pdf,needs OCR,20,,,,www.ilovepdf.com,no text layer; OCR before judging citability,
y no se lo tragó la tierra _ And the Earth Did Not Devour -- Tomás Rivera -- 2015 -- Arte Público Press -- b1ab62190fbbab8309e504c60cd1cccd -- Anna’s Archive.pdf,check by hand,156,,,1,calibre (5.26.0) [https://calibre-ebook.com] calibre (5.26.0,produced by a converter: calibre (5.26.0) [https://calibre-ebook. | only 1 printed page numbers in 156 pages | no running heads,copyright page present
