filename,verdict,pages,offset,agreement,folios,producer,against,for
"Contemporary Gothic (Reaktion Books - Focus on Contemporary -- Catherine Spooner -- Foci, 2007 -- REAKTION BOOKS; Reaktion -- isbn13 9781861893017 -- e9943301d76cc6a5831db7666e52b484 -- Anna’s Archive.pdf",citable,178,-2,0.96,24,QuarkXPress(R) 7.3 QuarkXPress(R) 7.3,,"typeset: QuarkXPress(R) 7.3 QuarkXPress(R) 7.3 | consistent print pagination, offset -2 (23 of 24 bare folios) | copyright page present | running heads"
"Crónicas diabólicas (1916-1926) de _Jorge Ulica_ -- Ulica, Jorge, 1870-1926; Rodríguez, Juan -- San Diego, Ca, California, 1982 -- San Diego, Ca _ -- isbn13 9780939558025 -- 261448014bd35e4b148eea3c0804d7da -- Anna’s Archive.pdf",citable,180,-2,0.97,113,Internet Archive PDF 1.4.18; including mupdf and pymupdf/ski,,"consistent print pagination, offset -2 (110 of 113 bare folios) | copyright page present | running heads"
"Cuentos Españoles De Colorado Y Nuevo México =_ Spanish Folk -- Rael, Juan Bautista_ -- 2d ed_, rev_, Santa Fe, New Mexico, 1977 -- Santa Fe_ Museum -- 9780890130933 -- 4352bea88e457328370a1b7fa8adc57c -- Anna’s Archive.pdf",citable,836,-14,0.92,752,Internet Archive PDF 1.4.12; including mupdf and pymupdf/ski,,"consistent print pagination, offset -14 (692 of 752 bare folios) | copyright page present | running heads"
"Cuentos de Cuanto Hay_ Tales from Spanish New Mexico -- Espinosa, J_ Manuel (José Manuel), 1909-; Hayes, Joe -- 1st ed_, Albuquerque, New Mexico, -- isbn13 9780826319272 -- add192ec82b20f34df646cb9fbecf241 -- Anna’s Archive.pdf",citable,244,-16,0.8,114,Internet Archive PDF 1.4.16; including mupdf and pymupdf/ski,,"consistent print pagination, offset -16 (91 of 114 bare folios) | copyright page present | running heads"
Cuentos reunidos -- Amparo Dávila -- 2009 -- ePubLibre -- f0673164ad96b21f3ad4f884f491eb10 -- Anna’s Archive.pdf,NOT citable,238,0,0.98,237,calibre 2.15.0 [http://calibre-ebook.com] calibre 2.15.0 [ht,produced by a converter: calibre 2.15.0 [http://calibre-ebook.com | printed page numbers equal the file pages — no front matter | no copyright page,running heads
"Cuentos_ Tales from the Hispanic Southwest_ Based on Stories -- selected by and adapted in Spanish by José Griego y Maestas; -- Santa Fe, N_M, ©1980, -- 9780890131107 -- 73a969f2aaeb372fbafdf4c9fbe476bf -- Anna’s Archive.pdf",citable,188,-12,0.99,159,Recoded by LuraDocument PDF v2.68 Internet Archive,,"consistent print pagination, offset -12 (157 of 159 bare folios) | copyright page present | running heads"
Decolonial.pdf,citable,23,109,0.96,23,itext-paulo-155 (itextpdf.sf.net-lowagie.com); modified usin,no copyright page,"consistent print pagination, offset +109 (22 of 23 edge folios) | running heads"
Diccionario Cobos sur Colorado español.pdf,needs OCR,29,,,,Haru Free PDF Library 2.4.5 Genius Scan,no text layer; OCR before judging citability,
"El Periquillo Sarniento -- Fernández de Lizardi, José Joaquín, 1776-1827, Spell, -- Colección _Sepan cuantos_ -- no_ 1, 9_ ed_, México, Mexico, -- oclc 1193402925 -- 80a994f602e564f61ebb4fca290f7a7d -- Anna’s Archive.pdf",citable,460,-20,0.97,343,Recoded by LuraDocument PDF v2.68 Internet Archive,,"consistent print pagination, offset -20 (334 of 343 bare folios) | copyright page present | running heads"
"El archivo y el repertorio_ el cuerpo y la memoria cultural -- Diana Taylor; traducción de Anabelle Contreras Castro -- Colección Antropología, -- isbn13 9789569320828 -- 3dbfb007feaa40f271b6acf6ce63611d -- Anna’s Archive.pdf",check by hand,418,0,1.0,380,Adobe InDesign CC 2014 (Macintosh) Adobe InDesign CC 2014 (M,"printed page numbers equal the file pages — no front matter | typeset and paginated, but no folios could be read",typeset: Adobe InDesign CC 2014 (Macintosh) Adobe | copyright page present | running heads
"El camino a Tamazunchale -- Arias, Ron, 1941- -- Tempe, Ariz, Arizona, 2002 -- Tempe, Ariz_ _ Bilingual Press_Editorial Bilingüe -- isbn13 9781931010061 -- 6f9e283a001461002472741a1ea9515c -- Anna’s Archive.pdf",citable,132,-6,1.0,110,Recoded by LuraDocument PDF v2.68 Internet Archive,,"consistent print pagination, offset -6 (110 of 110 bare folios) | copyright page present | running heads"
"El laberinto de la soledad, Postdata, Vuelta a El laberinto -- Octavio Paz -- Colección popular (Fondo de Cultura Económica (Mexico)), 5th -- Fondo de -- 9786071633606 -- 0d5ae97792960cf2654326f512e138f4 -- Anna’s Archive.pdf",citable,456,-4,0.98,403,Internet Archive PDF 1.4.22; including mupdf and pymupdf/ski,,"consistent print pagination, offset -4 (393 of 403 bare folios) | copyright page present | running heads"
El luto humano -- José Revueltas -- 1943 -- ePubLibre -- 331c2a6d3e892671b86ac87736de7474 -- Anna’s Archive.pdf,NOT citable,132,0,0.98,131,calibre 2.15.0 [http://calibre-ebook.com] calibre 2.15.0 [ht,produced by a converter: calibre 2.15.0 [http://calibre-ebook.com | printed page numbers equal the file pages — no front matter | no copyright page,running heads
"El malestar en la cultura -- Freud, Sigmund -- Bookwire GmbH, [Madrid, Spain], 2017 -- Ediciones Akal -- isbn13 9788446043843 -- cabe0abf005411e32da3fb06b05a34af -- Anna’s Archive.pdf",check by hand,80,,,1,calibre,produced by a converter: calibre | only 1 printed page numbers in 80 pages | no running heads,copyright page present
"El relato en perspectiva_ Estudio de teoría narrativa -- Luz Aurora Pimentel -- Lingüística y teoría literaria, 1998 -- Siglo XXI, UNAM -- isbn13 9789682321153 -- 949b65021ff0284c13e920d3209fdaa5 -- Anna’s Archive.pdf",citable,194,-3,0.98,44,iOS Version 26.6.1 (Build 23G83) Quartz PDFContext PaperPort,no running heads,"consistent print pagination, offset -3 (43 of 44 bare folios) | copyright page present"
El terror de la brujería como motivo literario.pdf,citable,20,67,1.0,20,Adobe PDF Library 10.0 Acrobat PDFMaker 10.1 for Word,no copyright page,"typeset: Adobe PDF Library 10.0 Acrobat PDFMaker  | consistent print pagination, offset +67 (20 of 20 bare folios) | running heads"
"Escritoras y fronteras geosimbólicas_ -- Duraccio, Caterina -- Dykinson SL, [S_l_], 2021 -- Editorial Dykinson, S_L_ -- isbn13 9788413775821 -- 67ca603ff943a1378213cf3a4ac975bb -- Anna’s Archive.pdf",check by hand,491,,,96,Adobe InDesign 15.0 (Macintosh) Adobe InDesign 15.0 (Macinto,"page numbers found but inconsistent: 3 of 96 agree on -229 | typeset and paginated, but no folios could be read",typeset: Adobe InDesign 15.0 (Macintosh) Adobe In | copyright page present | running heads
"Escritos 1 (Spanish Edition) -- Jacques Lacan [Lacan, Jacques] -- 2009 -- Siglo XXI Editores Mexico -- f159192731b7b8bdb3266d2fc5ead8e7 -- Anna’s Archive.pdf",NOT citable,413,0,1.0,412,calibre 3.34.0 [https://calibre-ebook.com] calibre 3.34.0 [h,produced by a converter: calibre 3.34.0 [https://calibre-ebook.co | printed page numbers equal the file pages — no front matter,copyright page present | running heads
"Espectros de Marx_ El Estado de la deuda, el trabajo del -- Jacques Derrida -- 1998 -- Editorial Trotta, S_A_ -- isbn13 9788413641379 -- 67c37d71757e81c978c856105b61f8f3 -- Anna’s Archive.pdf",citable,188,5,0.57,120,Adobe Acrobat Pro 11.0.6 Paper Capture Plug-in with ClearSca,,"typeset: Adobe Acrobat Pro 11.0.6 Paper Capture P | consistent print pagination, offset +5 (68 of 120 bare folios) | copyright page present | running heads"
