filename,book_id,classification,pages,chars_total,chars_per_page_median,sparse_pages,sparse_ratio,mb,pdf_title,pdf_author,encrypted,problem
"Magical Realism in Contemporary Chicano Fiction _$bRon -- Walter, Roland (Roland Gerhard Mike) -- Editionen der Iberoamericana_ Reihe III, -- isbn13 9783893548484 -- 1edc99f54d4966445364b56035a3b2d2 -- Anna’s Archive.pdf",,pdf_text,156,438582,3142,3,0.02,10.0,Magical realism in contemporary Chicano fiction,"Walter, Roland (Roland Gerhard Mike)",,
"Mal de archivo_ una impresión freudiana -- Jacques Derrida; Paco Vidarte -- Estructuras y Procesos_ Filosofía, 1a, 1997 -- Trotta Trotta -- isbn13 9788481641332 -- 1991aab86a9a6c8f86857e8e412f18a1 -- Anna’s Archi.pdf",,pdf_text,101,240498,2580,1,0.01,7.4,,,,
Mexico profundo_Miguel Gandert_Lamadrid_2026-06-16 13-46.pdf,,pdf_ocr_needed,71,0,0,71,1.0,31.9,Mexico profundo_Miguel Gandert_Lamadrid_2026-06-16 13:46,,,
"Mircea Eliade - Ocultismo, brujería y modas culturales-Paidós (1997).pdf",,pdf_text,166,354861,2309,6,0.04,3.9,,,,
Moths-The_Las-palomillas-2.pdf,,mixed,13,12736,921,3,0.23,6.1,The Moths,Adelaida,,
Music in the Ruben Cobos Collection.pdf,,pdf_ocr_needed,222,0,0,222,1.0,6.8,,,,
Nasario García_Old Las Vegas.pdf,,pdf_text,319,577022,2019,5,0.02,0.9,,,,
Peregrinos de Aztlán_Miguel Méndez.pdf,,pdf_text,196,386569,2260,10,0.05,8.9,Peregrinos de Aztlán,"Méndez M., Miguel",,
Polémicas de la poesión puntos clave.pdf,,pdf_text,4,10231,3136,0,0.0,0.2,The Polemics of Possession in Spanish American Narrative (review),Gustavo Verdesio,,
RIVERA GARZA CRISTINA. Los muertos indociles.pdf,,pdf_text,294,453450,1643,1,0.0,6.1,,,,
Red_Medicine_Traditional_Indigenous_Rites_of_Birth....pdf,,pdf_text,314,794449,2968,0,0.0,3.5,someTitle,someAuthor,,
Rolena Adorno_Polemics of Possesion.pdf,,pdf_text,449,1092490,2620,5,0.01,5.0,The Polemics of Possession in Spanish American Narrative,Rolena Adorno,,
"The Belief of the Indian in a Connection Between Song and -- Frances Densmore -- 2013-07-27 -- Literary Licensing, LLC -- 9781258773229 -- 1f4b16065f399e88a29f7de250d274a5 -- Anna’s Archive.pdf",,mixed,20,13047,152,7,0.35,1.7,The Belief of the Indian in a Connection Between Song and the Supernatural,Frances Densmore,,
"The Folklore of Spain in the American Southwest _ -- Espinosa, Aurelio Macedonio; Espinosa, J_ Manuel -- University of Oklahoma Press, Norman, Okla, -- 9780585145983 -- 78eadff7a5189a6490924bba3fea9dd8 -- Anna’s Archive.pdf",,pdf_text,332,769242,2534,8,0.02,18.1,The Folklore of Spain in the American Southwest: Traditional Spanish Folk Literature in Northern New Mexico and Southern Colorado,Aurelio M. Espinosa,,
"The corn woman _ stories and legends of the Hispanic -- retold by Angel Vigil; translated by Jennifer Audrey Lowell -- Bloomsbury USA, Englewood, -- 9780313069895 -- c92fca77f069c30392a6383e68e1bf56 -- Anna’s Archi.pdf",,pdf_text,298,487084,2020,29,0.1,11.6,The corn woman : stories and legends of the Hispanic Southwest = La mujer del maiz : cuentos y leyendas del sudoeste hispano,"Vigil, Angel",,
The extractive zone_Macarena.pdf,,pdf_text,23,59038,2690,0,0.0,1.5,,,,
Women%27s_Tales_from_the_New_Mexico_WPA_La_Diabla_a_..._----_(PART_I).pdf,,pdf_text,104,219144,2070,0,0.0,0.5,someTitle,someAuthor,,
un-esfuerzo-de-poesia-ja-miller-pdf-free.pdf,,pdf_ocr_needed,20,420,21,20,1.0,6.6,,,,
